"id";"type_id";"class_id";"superfamily_id";"family_id"
800;1;2;503;788
807;3;11;335;795
808;3;11;338;796
809;2;5;508;797
810;3;11;335;798
811;3;13;509;799
813;3;13;163;801
814;3;14;510;802
823;2;5;84;811
816;3;14;294;804
817;3;11;150;805
818;3;14;294;806
819;3;14;513;807
820;3;14;513;808
821;3;14;513;809
822;3;13;164;810
824;2;8;147;812
825;2;8;61;813
826;1;1;514;814
827;1;16;515;815
828;1;16;516;816
831;1;1;517;819
832;3;11;338;820
833;3;11;336;821
834;1;1;518;822
835;2;8;148;823
837;1;1;519;825
838;3;11;195;826
839;1;16;520;827
840;1;1;521;828
908;1;1;2;896
842;2;5;84;830
843;1;2;35;831
844;3;14;294;832
845;3;11;160;833
846;2;8;523;834
847;2;8;61;835
848;2;8;524;836
849;3;11;525;837
850;2;6;526;838
851;1;1;465;839
852;1;1;6;840
853;3;11;195;841
854;1;2;26;842
855;3;11;335;843
856;3;14;527;844
857;3;11;335;845
858;1;2;181;846
859;1;1;277;847
860;1;1;528;848
861;2;7;529;849
862;3;11;530;850
864;1;16;532;852
865;1;16;533;853
867;2;8;534;855
868;1;16;535;856
869;1;16;536;857
871;2;7;135;859
872;2;7;135;860
873;1;1;528;861
874;1;2;538;862
875;3;11;262;863
876;1;16;230;864
877;3;13;226;865
878;1;1;539;866
879;1;1;67;867
880;3;11;338;868
881;2;5;540;869
882;1;1;541;870
883;1;1;501;871
884;1;1;67;872
885;1;1;15;873
886;3;11;335;874
887;3;11;542;875
888;1;1;543;876
889;1;1;544;877
890;1;1;346;878
891;1;1;273;879
892;2;5;84;880
893;1;16;488;881
894;1;2;545;882
895;2;5;546;883
896;1;1;547;884
897;1;2;35;885
898;1;16;548;886
899;1;1;4;887
900;1;1;8;888
902;1;1;17;890
903;3;11;154;891
904;1;1;550;892
905;2;7;134;893
906;2;6;120;894
907;1;1;16;895
910;1;1;8;898
911;1;1;552;899
912;1;1;8;900
913;3;11;258;901
914;1;16;74;902
915;1;16;103;903
916;1;1;8;904
917;1;1;553;905
918;3;14;172;906
919;2;7;554;907
920;1;1;555;908
921;1;16;117;909
